caseid,sex,total_children,age,age_at_first_birth,religion_importance,income_family,occupation,education,partner_education,partner_sex,region,pop_center,decade_first_birth,age_group,age_at_first_birth_group,child,education_level,partner_education_level
15,Female,1,66.8,26.3,Somewhat important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,"University certificate, diploma or degree above the ba...",Male,Quebec,Rural areas and small population centres (non CMA/CA),1960,65,25,1,HS or less,University Graduate
16,Female,0,30.6,NA,Not very important,"$25,000 to $49,999","Business, finance, and administration occupations","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,30,NA,0,University Undergraduate,NA
18,Female,0,33.8,NA,Not at all important,"$75,000 to $99,999","Business, finance, and administration occupations","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,30,NA,0,University Undergraduate,University Undergraduate
25,Female,0,63.5,NA,Very important,"$25,000 to $49,999",NA,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,60,NA,0,College / Trade,NA
27,Female,0,30.8,NA,Not very important,"$100,000 to $ 124,999","Business, finance, and administration occupations","University certificate, diploma or degree above the bach...","University certificate, diploma or degree above the ba...",No Partner,Ontario,Larger urban population centres (CMA/CA),NA,30,NA,0,University Graduate,University Graduate
28,Female,0,19.1,NA,Not very important,"$125,000 and more",NA,Less than high school diploma or its equivalent,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,15,NA,0,HS or less,NA
29,Female,3,40.8,NA,Somewhat important,"$25,000 to $49,999","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,40,NA,1,University Undergraduate,NA
31,Female,2,40.7,29,Somewhat important,"$125,000 and more","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Quebec,Larger urban population centres (CMA/CA),1990,40,25,1,University Undergraduate,University Undergraduate
34,Female,3,80,23.5,Very important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,80,20,1,HS or less,NA
38,Female,0,74.9,NA,Somewhat important,"$50,000 to $74,999",NA,"University certificate, diploma or degree above the bach...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,70,NA,0,University Graduate,NA
42,Female,1,37,35.4,Very important,"$100,000 to $ 124,999","Occupations in education, law and social, community and ...",University certificate or diploma below the bachelor's level,"College, CEGEP or other non-university certificate or d...",Male,Quebec,Larger urban population centres (CMA/CA),2000,35,35,1,University Undergraduate,College / Trade
43,Female,1,27.3,18,Very important,"$25,000 to $49,999",Sales and service occupations,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),1990,25,15,1,College / Trade,NA
45,Female,0,53.6,NA,Very important,"$50,000 to $74,999",Occupations in manufacturing and utilities,Less than high school diploma or its equivalent,High school diploma or a high school equivalency certi...,Male,Atlantic region,Prince Edward Island,NA,50,NA,0,HS or less,HS or less
49,Female,6,80,19.3,Very important,"$25,000 to $49,999",NA,Less than high school diploma or its equivalent,NA,No Partner,Atlantic region,Rural areas and small population centres (non CMA/CA),NA,80,15,1,HS or less,NA
51,Female,1,26.8,19.3,Not very important,"$75,000 to $99,999","Occupations in education, law and social, community and ...",High school diploma or a high school equivalency certificate,Less than high school diploma or its equivalent,Male,British Columbia,Larger urban population centres (CMA/CA),2000,25,15,1,HS or less,HS or less
53,Female,1,51.9,35.5,Very important,"$50,000 to $74,999",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,No Partner,Ontario,Larger urban population centres (CMA/CA),1990,50,35,1,HS or less,NA
55,Female,2,47.5,35.9,Somewhat important,"$100,000 to $ 124,999","Occupations in education, law and social, community and ...","University certificate, diploma or degree above the bach...",NA,No Partner,Atlantic region,Prince Edward Island,1990,45,35,1,University Graduate,NA
57,Female,0,53.6,NA,Somewhat important,"$100,000 to $ 124,999","Business, finance, and administration occupations",High school diploma or a high school equivalency certificate,Less than high school diploma or its equivalent,Male,Ontario,Larger urban population centres (CMA/CA),NA,50,NA,0,HS or less,HS or less
58,Female,3,68.6,18,Very important,"$75,000 to $99,999",Sales and service occupations,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Atlantic region,Rural areas and small population centres (non CMA/CA),NA,65,15,1,HS or less,HS or less
61,Female,2,70.8,20.3,Somewhat important,"$100,000 to $ 124,999",Sales and service occupations,Less than high school diploma or its equivalent,High school diploma or a high school equivalency certi...,Male,Quebec,Rural areas and small population centres (non CMA/CA),NA,70,20,1,HS or less,HS or less
62,Female,0,60.8,NA,Somewhat important,"Less than $25,000","Trades, transport and equipment operators and related oc...",Trade certificate or diploma,High school diploma or a high school equivalency certi...,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,60,NA,0,College / Trade,HS or less
63,Female,0,53.1,NA,Very important,"$25,000 to $49,999","Occupations in education, law and social, community and ...","College, CEGEP or other non-university certificate or di...",NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,50,NA,0,College / Trade,NA
64,Female,3,34,21.9,Very important,"$125,000 and more","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","College, CEGEP or other non-university certificate or d...",Male,Ontario,Larger urban population centres (CMA/CA),1990,30,20,1,University Undergraduate,College / Trade
65,Female,3,72.4,18.8,Somewhat important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,Less than high school diploma or its equivalent,Male,Atlantic region,Larger urban population centres (CMA/CA),NA,70,15,1,HS or less,HS or less
66,Female,3,80,20.5,Somewhat important,"$25,000 to $49,999",NA,Less than high school diploma or its equivalent,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,80,20,1,HS or less,NA
67,Female,3,65.9,24.9,Very important,"$125,000 and more","Business, finance, and administration occupations",High school diploma or a high school equivalency certificate,"University certificate, diploma or degree above the ba...",Male,Atlantic region,Larger urban population centres (CMA/CA),1960,65,20,1,HS or less,University Graduate
68,Female,2,61.8,37.5,Very important,"$50,000 to $74,999",NA,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),1980,60,35,1,College / Trade,NA
69,Female,2,37,21.8,Very important,"$75,000 to $99,999",Sales and service occupations,"College, CEGEP or other non-university certificate or di...",Trade certificate or diploma,Male,Prairie region,Larger urban population centres (CMA/CA),1990,35,20,1,College / Trade,College / Trade
72,Female,3,42.3,21.2,Not very important,"$100,000 to $ 124,999","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,Male,Ontario,Larger urban population centres (CMA/CA),1980,40,20,1,College / Trade,HS or less
74,Female,0,26.7,NA,Not at all important,"Less than $25,000","Trades, transport and equipment operators and related oc...",High school diploma or a high school equivalency certificate,NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,25,NA,0,HS or less,NA
75,Female,0,24.1,NA,Very important,"Less than $25,000","Occupations in education, law and social, community and ...",High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Atlantic region,Larger urban population centres (CMA/CA),NA,20,NA,0,HS or less,HS or less
77,Female,0,26.1,NA,Very important,"$125,000 and more","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",High school diploma or a high school equivalency certi...,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,25,NA,0,University Undergraduate,HS or less
78,Female,1,31.5,30.4,Not very important,"$75,000 to $99,999","Occupations in art, culture, recreation and sport","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",High school diploma or a high school equivalency certi...,Male,Quebec,Larger urban population centres (CMA/CA),2000,30,30,1,University Undergraduate,HS or less
79,Female,2,57.9,24.8,Very important,"$125,000 and more","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",High school diploma or a high school equivalency certi...,Male,Ontario,Larger urban population centres (CMA/CA),1970,55,20,1,University Undergraduate,HS or less
80,Female,0,15.4,NA,Very important,"$25,000 to $49,999",Sales and service occupations,Less than high school diploma or its equivalent,NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,15,NA,0,HS or less,NA
81,Female,0,16.4,NA,Not very important,"$75,000 to $99,999",Sales and service occupations,Less than high school diploma or its equivalent,NA,No Partner,Quebec,Rural areas and small population centres (non CMA/CA),NA,15,NA,0,HS or less,NA
83,Female,0,24.9,NA,Not very important,"Less than $25,000",Sales and service occupations,Less than high school diploma or its equivalent,High school diploma or a high school equivalency certi...,Male,Prairie region,Larger urban population centres (CMA/CA),NA,20,NA,0,HS or less,HS or less
86,Female,0,63.9,NA,Very important,"$50,000 to $74,999","Occupations in education, law and social, community and ...","University certificate, diploma or degree above the bach...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,60,NA,0,University Graduate,NA
87,Female,3,57.8,24.5,Somewhat important,"$125,000 and more","Occupations in education, law and social, community and ...",High school diploma or a high school equivalency certificate,Trade certificate or diploma,Male,Ontario,Rural areas and small population centres (non CMA/CA),1970,55,20,1,HS or less,College / Trade
88,Female,4,74.8,20.8,Very important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,70,20,1,HS or less,NA
91,Female,0,80,NA,Not at all important,"$25,000 to $49,999",NA,"University certificate, diploma or degree above the bach...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,80,NA,0,University Graduate,NA
95,Female,4,73.3,23.1,Not very important,"Less than $25,000",NA,"College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,Male,Prairie region,Rural areas and small population centres (non CMA/CA),NA,70,20,1,College / Trade,HS or less
97,Female,1,72.3,21.9,Somewhat important,"$25,000 to $49,999",NA,"College, CEGEP or other non-university certificate or di...",NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,70,20,1,College / Trade,NA
98,Female,1,56.3,19.3,Somewhat important,"$50,000 to $74,999","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...",NA,No Partner,Atlantic region,Rural areas and small population centres (non CMA/CA),1970,55,15,1,College / Trade,NA
99,Female,0,64.9,NA,Somewhat important,"$100,000 to $ 124,999",NA,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,60,NA,0,College / Trade,NA
102,Female,2,33,21.6,Very important,"$100,000 to $ 124,999",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,Male,Atlantic region,Prince Edward Island,1990,30,20,1,HS or less,NA
107,Female,3,57.3,28,Very important,"$125,000 and more",Sales and service occupations,High school diploma or a high school equivalency certificate,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Ontario,Larger urban population centres (CMA/CA),1970,55,25,1,HS or less,University Undergraduate
108,Female,0,45.3,NA,Somewhat important,"$125,000 and more",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,45,NA,0,University Undergraduate,NA
110,Female,0,24.2,NA,Very important,"Less than $25,000","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...","University certificate, diploma or degree above the ba...",No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,20,NA,0,College / Trade,University Graduate
112,Female,2,41.4,35.8,Somewhat important,"$125,000 and more","Occupations in education, law and social, community and ...","University certificate, diploma or degree above the bach...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Ontario,Larger urban population centres (CMA/CA),2000,40,35,1,University Graduate,University Undergraduate
113,Female,1,64.3,24.1,Very important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),1960,60,20,1,HS or less,NA
114,Female,2,80,32.5,Not at all important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),1960,80,30,1,HS or less,NA
115,Female,0,29.3,NA,Not at all important,"$75,000 to $99,999",Sales and service occupations,"College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,Male,British Columbia,Larger urban population centres (CMA/CA),NA,25,NA,0,College / Trade,HS or less
119,Female,7,35.9,18,Somewhat important,"$25,000 to $49,999","Trades, transport and equipment operators and related oc...",High school diploma or a high school equivalency certificate,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),1990,35,15,1,HS or less,NA
121,Female,1,53.8,32.7,Not very important,"$75,000 to $99,999","Business, finance, and administration occupations",High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Prairie region,Larger urban population centres (CMA/CA),1980,50,30,1,HS or less,HS or less
122,Female,1,51.4,37.2,Very important,"$100,000 to $ 124,999",Management occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Atlantic region,Larger urban population centres (CMA/CA),1990,50,35,1,University Undergraduate,University Undergraduate
124,Female,2,72.1,34.3,Very important,"$25,000 to $49,999",NA,"University certificate, diploma or degree above the bach...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),1970,70,30,1,University Graduate,NA
125,Female,0,73,NA,Somewhat important,"$25,000 to $49,999",NA,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Atlantic region,Rural areas and small population centres (non CMA/CA),NA,70,NA,0,HS or less,HS or less
129,Female,6,58.1,25.8,Very important,"$50,000 to $74,999","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),1970,55,25,1,College / Trade,NA
130,Female,2,36.5,28.1,Not very important,"$125,000 and more",Health occupations,"College, CEGEP or other non-university certificate or di...",Trade certificate or diploma,Male,Ontario,Larger urban population centres (CMA/CA),1990,35,25,1,College / Trade,College / Trade
131,Female,4,60.3,20.3,Not very important,"$100,000 to $ 124,999","Occupations in education, law and social, community and ...","College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,Male,Prairie region,Rural areas and small population centres (non CMA/CA),1960,60,20,1,College / Trade,HS or less
135,Female,0,76.6,NA,Very important,"$25,000 to $49,999",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,75,NA,0,University Undergraduate,NA
136,Female,7,74.8,18,Somewhat important,"$25,000 to $49,999",Health occupations,Trade certificate or diploma,High school diploma or a high school equivalency certi...,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,70,15,1,College / Trade,HS or less
137,Female,4,70.6,21.6,Very important,"$25,000 to $49,999",NA,Less than high school diploma or its equivalent,NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,70,20,1,HS or less,NA
143,Female,2,56.3,32.8,Not very important,"$25,000 to $49,999",Management occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Ontario,Larger urban population centres (CMA/CA),1980,55,30,1,University Undergraduate,University Undergraduate
144,Female,2,76.8,20.1,Very important,"$25,000 to $49,999",NA,Less than high school diploma or its equivalent,NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,75,20,1,HS or less,NA
147,Female,1,33.3,31.1,Somewhat important,"$100,000 to $ 124,999",Health occupations,"College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",Male,Ontario,Larger urban population centres (CMA/CA),2000,30,30,1,College / Trade,College / Trade
148,Female,2,63.8,28.1,Somewhat important,"$50,000 to $74,999",NA,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),1970,60,25,1,College / Trade,NA
149,Female,0,57,NA,Very important,"$125,000 and more",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Ontario,Larger urban population centres (CMA/CA),NA,55,NA,0,University Undergraduate,University Undergraduate
150,Female,0,41.3,NA,Not very important,"$125,000 and more","Occupations in education, law and social, community and ...","University certificate, diploma or degree above the bach...",NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,40,NA,0,University Graduate,NA
151,Female,0,18.3,NA,Very important,"$125,000 and more",Sales and service occupations,Less than high school diploma or its equivalent,NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,15,NA,0,HS or less,NA
153,Female,0,48.9,NA,Very important,"$100,000 to $ 124,999","Occupations in art, culture, recreation and sport","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",High school diploma or a high school equivalency certi...,Male,Prairie region,Larger urban population centres (CMA/CA),NA,45,NA,0,University Undergraduate,HS or less
154,Female,0,65.3,NA,Very important,"Less than $25,000",NA,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Ontario,Larger urban population centres (CMA/CA),NA,65,NA,0,HS or less,HS or less
157,Female,0,25.8,NA,Not very important,"Less than $25,000",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,25,NA,0,HS or less,NA
158,Female,4,39.3,25.8,Not very important,"$75,000 to $99,999",Health occupations,"College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,Male,British Columbia,Larger urban population centres (CMA/CA),1990,35,25,1,College / Trade,HS or less
159,Female,0,69.9,NA,Somewhat important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,65,NA,0,HS or less,NA
160,Female,4,67.1,19.8,Very important,"$25,000 to $49,999",Health occupations,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Prairie region,Rural areas and small population centres (non CMA/CA),1960,65,15,1,HS or less,HS or less
161,Female,0,31.8,NA,Somewhat important,"$25,000 to $49,999","Occupations in art, culture, recreation and sport","College, CEGEP or other non-university certificate or di...",NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,30,NA,0,College / Trade,NA
162,Female,2,61.1,35.5,Somewhat important,"$25,000 to $49,999","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,Male,Ontario,Larger urban population centres (CMA/CA),1980,60,35,1,College / Trade,HS or less
163,Female,1,65.6,31.5,Not very important,"$125,000 and more",NA,"University certificate, diploma or degree above the bach...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),1970,65,30,1,University Graduate,NA
165,Female,0,63.3,NA,Very important,"$50,000 to $74,999","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",High school diploma or a high school equivalency certi...,Male,Prairie region,Rural areas and small population centres (non CMA/CA),NA,60,NA,0,University Undergraduate,HS or less
167,Female,4,51.3,18,Somewhat important,"$50,000 to $74,999","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...",Trade certificate or diploma,Male,Atlantic region,Larger urban population centres (CMA/CA),1970,50,15,1,College / Trade,College / Trade
168,Female,1,52.9,28.3,Very important,"$125,000 and more",Occupations in manufacturing and utilities,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Atlantic region,Rural areas and small population centres (non CMA/CA),1980,50,25,1,HS or less,HS or less
169,Female,1,40.6,38.9,Not at all important,"$125,000 and more","Business, finance, and administration occupations","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","College, CEGEP or other non-university certificate or d...",Male,Quebec,Larger urban population centres (CMA/CA),2000,40,35,1,University Undergraduate,College / Trade
170,Female,2,76.6,19.3,Very important,"$25,000 to $49,999",NA,Less than high school diploma or its equivalent,NA,No Partner,Atlantic region,Rural areas and small population centres (non CMA/CA),NA,75,15,1,HS or less,NA
171,Female,0,16.7,NA,Somewhat important,"$125,000 and more",Sales and service occupations,Less than high school diploma or its equivalent,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,15,NA,0,HS or less,NA
176,Female,0,64.9,NA,Very important,"$25,000 to $49,999",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,60,NA,0,HS or less,NA
178,Female,2,73.4,18,Somewhat important,"$25,000 to $49,999",NA,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Atlantic region,Rural areas and small population centres (non CMA/CA),NA,70,15,1,HS or less,HS or less
180,Female,3,67.4,19.5,Very important,"$25,000 to $49,999",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),1960,65,15,1,HS or less,NA
181,Female,1,61.8,26,Not at all important,"$75,000 to $99,999",Management occupations,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Ontario,Larger urban population centres (CMA/CA),1970,60,25,1,HS or less,HS or less
184,Female,0,52.6,NA,Somewhat important,"$50,000 to $74,999","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,50,NA,0,University Undergraduate,NA
185,Female,0,20.3,NA,Not very important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,20,NA,0,HS or less,NA
186,Female,1,31.6,31.5,Not at all important,"$125,000 and more",Health occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","College, CEGEP or other non-university certificate or d...",Male,Quebec,Larger urban population centres (CMA/CA),2000,30,30,1,University Undergraduate,College / Trade
188,Female,0,24.3,NA,Not very important,"Less than $25,000",Sales and service occupations,"College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",No Partner,Ontario,Larger urban population centres (CMA/CA),NA,20,NA,0,College / Trade,College / Trade
189,Female,1,50,29.8,Somewhat important,"$125,000 and more",NA,"College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",Male,Quebec,Larger urban population centres (CMA/CA),1980,50,25,1,College / Trade,College / Trade
191,Female,0,62,NA,Not at all important,"$50,000 to $74,999",NA,"University certificate, diploma or degree above the bach...",NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,60,NA,0,University Graduate,NA
192,Female,0,36.4,NA,Somewhat important,"$25,000 to $49,999","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...",NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,35,NA,0,College / Trade,NA
194,Female,0,68.2,NA,Very important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,65,NA,0,HS or less,NA
198,Female,3,57.5,27.9,Somewhat important,"$125,000 and more","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",High school diploma or a high school equivalency certi...,Male,Prairie region,Rural areas and small population centres (non CMA/CA),1970,55,25,1,University Undergraduate,HS or less
203,Female,0,61.7,NA,Very important,"$75,000 to $99,999",Health occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Atlantic region,Prince Edward Island,NA,60,NA,0,University Undergraduate,NA
204,Female,0,24.3,NA,Not very important,"$25,000 to $49,999","Business, finance, and administration occupations","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,20,NA,0,University Undergraduate,NA
205,Female,4,71.6,21.9,Not very important,"$25,000 to $49,999","Natural resources, agriculture and related production oc...",Less than high school diploma or its equivalent,NA,No Partner,Atlantic region,Prince Edward Island,NA,70,20,1,HS or less,NA
208,Female,2,41.4,29.3,Somewhat important,"$50,000 to $74,999","Business, finance, and administration occupations",University certificate or diploma below the bachelor's level,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),1990,40,25,1,University Undergraduate,NA
209,Female,4,66.8,29.5,Somewhat important,"$125,000 and more","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",Male,Prairie region,Larger urban population centres (CMA/CA),1970,65,25,1,College / Trade,College / Trade
210,Female,2,56.2,35.9,Not very important,"$25,000 to $49,999",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","University certificate, diploma or degree above the ba...",Male,Quebec,Larger urban population centres (CMA/CA),1980,55,35,1,University Undergraduate,University Graduate
213,Female,2,53.7,24.5,Not at all important,"$75,000 to $99,999",Sales and service occupations,High school diploma or a high school equivalency certificate,University certificate or diploma below the bachelor's level,Male,Ontario,Larger urban population centres (CMA/CA),1970,50,20,1,HS or less,University Undergraduate
214,Female,7,76,NA,Very important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Atlantic region,Prince Edward Island,NA,75,NA,1,HS or less,NA
215,Female,0,33,NA,Very important,"$25,000 to $49,999",Sales and service occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","University certificate, diploma or degree above the ba...",Male,Ontario,Larger urban population centres (CMA/CA),NA,30,NA,0,University Undergraduate,University Graduate
216,Female,1,30.6,28.3,Very important,"Less than $25,000",Sales and service occupations,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),2000,30,25,1,College / Trade,NA
